1,Arsenal,30,23,4,3,72,29,73
2,Manchester City,29,21,4,4,75,27,67
3,Newcastle United,29,15,11,3,48,21,56
4,Manchester United,29,17,5,7,44,37,56
5,Tottenham Hotspur,30,16,5,9,55,42,53
6,Aston Villa,30,14,5,11,41,40,47
7,Brighton & Hove Albion,28,13,7,8,52,36,46
8,Liverpool,29,12,8,9,50,35,44
9,Brentford,30,10,13,7,47,40,43
10,Fulham,29,11,6,12,39,40,39
11,Chelsea,30,10,9,11,29,31,39
12,Crystal Palace,30,8,9,13,29,40,33
13,Wolverhampton Wanderers,30,8,7,15,24,42,31
14,West Ham United,29,8,6,15,27,39,30
15,AFC Bournemouth,30,8,6,16,28,57,30
16,Leeds United,30,7,8,15,39,54,29
17,Everton,30,6,9,15,23,43,27
18,Nottingham Forest,30,6,9,15,24,54,27
19,Leicester City,30,7,4,19,40,52,25
20,Southhampton,30,6,5,19,24,51,23
